„,Category,Term
Professions,Scout
Professions,Stalker
Skyrim,Assassin
Skyrim,Battlemage
Skyrim,Paladin
Skyrim,Ranger
Skyrim,Spellsword
Warhammer,Assassin
Warhammer,Ranger
Warhammer,Scout
Warhammer,Warrior Priest
Warhammer,Witch Hunter
Warhammer,Wizard
World of Warcraft,Brewmaster Monk
World of Warcraft,Druid
World of Warcraft,Holy Paladin
World of Warcraft,Hunter
World of Warcraft,Mage
World of Warcraft,Mistweaver Monk
World of Warcraft,Monk
World of Warcraft,Paladin
World of Warcraft,Priest
World of Warcraft,Protection Paladin
World of Warcraft,Retribution Paladin
World of Warcraft,Rogue
World of Warcraft,Warlock
World of Warcraft,Warrior
World of Warcraft,Windwalker Monk
„,2Dfile:///c:/Users/Yorri/Downloads/external_collisions_report_full.csv
